Тилек Мамадалиев освобожден от должности заместителя министра здравоохранения
В Бишкеке 23-летняя девушка ночью ограбила мужчину
Приблизит ли Кыргызстан закон об иноагентах к авторитаризму, как в Северной Корее?
Мужчину, напавшего на врача скорой помощи, доставили в милицию, а потом отпустили
В Бишкеке мужчины избили медиков скорой помощи - видео
В Оше за нарушение саннорм закрыли 10 стоматологий, косметологических и процедурных кабинетов
Жанар Акаев: Мы всей фракцией будем голосовать против законопроекта о НКО
Расул Умбеталиев: Надо перестать наносить вред жизням и здоровью нашим гражданам
В Баткене женщина взяла $50 тысяч и обещала освободить заключенного из тюрьмы
«Мы не против НПО, но насколько я знаю, вносятся изменения в части отчетности этих организаций». Винера Раимбачаева о законопроекте о НКО
Руслан Бийбосунов освобожден от должности генконсула КР в Екатеринбурге
Кыргызстан закупил более 90 тыс. доз вакцины против гриппа
Президент освободил Чынгыза Эшимбекова от должности посла КР в Катаре
Айбек Осмонов: Я еще полностью не ознакомился с текстом законопроекта о НКО
Возле &quot;Вефы&quot; в Бишкеке произошла массовая драка - видео
В некоторых районах Бишкека завтра не будет питьевой воды
Бишкекчанина задержали за избиение и изнасилование гражданской жены
Садыр Жапаров с рабочим визитом прибыл в Нью-Йорк. Состав делегации
В Бишкеке разыскивают пропавшую без вести 20-летнюю Викторию Долотову
Кадыр Маликов: Лидеры различных конфессий могут показать пример, как выстраивать диалог
В Кыргызстане в ходе операции «Канал-Перехват» за пять дней изъяли более 68 кг наркотиков
В Чуйской области задержали браконьеров, отстреливших лису
В Оше водитель сбил ребенка и скрылся. Видео
В Бишкеке в результате ДТП перевернулась патрульная машина - видео
Национальный план адаптации для Кыргызстана: подходы, инструменты, методологии
Акылбек Жапаров ознакомился с состоянием карьеров и мест складирования отходов в Чуйской области
Тайырбек Жумашбек уулу завоевал бронзу на Чемпионате мира по борьбе
Садыр Жапаров совершит рабочий визит в Нью-Йорк
В Турции разбился пожарный вертолет с кыргызстанцами на борту
Завтра в Бишкеке в отдельных районах не будет света
Тилек Мамадалиев освобожден от должности заместителя министра здравоохранения
В Бишкеке 23-летняя девушка ночью ограбила мужчину
Приблизит ли Кыргызстан закон об иноагентах к авторитаризму, как в Северной Корее?
Мужчину, напавшего на врача скорой помощи, доставили в милицию, а потом отпустили
В Бишкеке мужчины избили медиков скорой помощи - видео
В Оше за нарушение саннорм закрыли 10 стоматологий, косметологических и процедурных кабинетов
Жанар Акаев: Мы всей фракцией будем голосовать против законопроекта о НКО
Расул Умбеталиев: Надо перестать наносить вред жизням и здоровью нашим гражданам
В Баткене женщина взяла $50 тысяч и обещала освободить заключенного из тюрьмы
«Мы не против НПО, но насколько я знаю, вносятся изменения в части отчетности этих организаций». Винера Раимбачаева о законопроекте о НКО
Руслан Бийбосунов освобожден от должности генконсула КР в Екатеринбурге
Кыргызстан закупил более 90 тыс. доз вакцины против гриппа
Президент освободил Чынгыза Эшимбекова от должности посла КР в Катаре
Айбек Осмонов: Я еще полностью не ознgit egit init
акомился с текстом законопроекта о НКО
Возле &quot;Вефы&quot; в Бишкеке произошла массовая драка - видео
В некоторых районах Бишкека завтра не будет питьевой воды
Бишкекчанина задержали за избиение и изнасилование гражданской жены
Садыр Жапаров с рабочим визитом прибыл в Нью-Йорк. Состав делегации
В Бишкеке разыскивают пропавшую без вести 20-летнюю Викторию Долотову
Кадыр Маликов: Лидеры различных конфессий могут показать пример, как выстраивать диалог
В Кыргызстане в ходе операции «Канал-Перехват» за пять дней изъяли более 68 кг наркотиков
В Чуйской области задержали браконьеров, отстреливших лису
В Оше водитель сбил ребенка и скрылся. Видео
В Бишкеке в результате ДТП перевернулась патрульная машина - видео
Национальный план адаптации для Кыргызстана: подходы, инструменты, методологии
Акылбек Жапаров ознакомился с состоянием карьеров и мест складирования отходов в Чуйской области
Тайырбек Жумашбек уулу завоевал бронзу на Чемпионате мира по борьбе
Садыр Жапаров совершит рабочий визит в Нью-Йорк
В Турции разбился пожарный вертолет с кыргызстанцами на борту
Завтра в Бишкеке в отдельных районах не будет света
